Unnamed: 0,Text
0,"U.S. Supreme Court to the American people: “Guns have rights; women don’t.”  xoxo

Vote the Republicans out."
1,"Unfortunately, I fear that Prof. Ben-Ghiat is right about this.  There is no public policy justification for this decision — and the con law origin and “history” arguments are simply bogus. https://t.co/jpmlPUzWzV"
2,"As I argue here in my letter to the @nytimes, @Harvard Prof. Jack Goldsmith  is wrong to argue that Att’y General Merrick Garland can cause a “cataclysm” by indicting #Trump. 

Trump rode the whirlwind, and he must reap the legal consequences. 

https://t.co/cfpSu4DX35"
3,"Uh oh.   Looking like somebody pled the Fifth for good reason.

#TimeForJustice

@via @NYTimes https://t.co/YPwOOGdWVs"
4,"It seems to me that this poor excuse for a U.S. Senate candidate is violating the law — falsely identifying himself as a Navy Seal (he’s at least retired), invoking military uniforms, and threatening the lives of his opponents. https://t.co/uSL8etcfWQ"
5,"Not so fun fact: 

“In the 1960s, Americans saw an average of two heatwaves a year, but by the 2010s, the average increased to six per year, according to the EPA.”

#climate 
 https://t.co/elSEYN3KP4"
6,RT @ruthbenghiat: Why I devote a chapter of #Strongmen to machismo as a tool of rule for authoritarians. The real man is the man above the…
7,Looking forward to this conference which begins in London tomorrow!   Check it out online if you have an interest. I’ll giving my perspective on recent trends toward a focus on “purpose” rather than “profits” in business.  https://t.co/W0g7uIzToe
8,"RT @lindyli: Lauren Boebert was a sex worker &amp; had 2 abortions but pretends to be a pro-life Republican

Herschel Walker has a secret son b…"
9,"RT @Committeeof70: We're proud of the work our CEO @Commish_Schmidt did as City Commissioner, and that he's continuing the fight for free a…"
10,"Whatever you think of her politics otherwise, the truth is that this heroic woman may save the United States as a republic. https://t.co/bAYC9GeBDY"
11,"Dear @NRA and @GOP:

Put this in your pipe and smoke it:

“We understand that for some reason, to some people, to people with money, the people who fund political campaigns, that guns are more important than children.”

Kimberly Rubio 

https://t.co/8qvqrknSUz via @YouTube"
12,#NewProfilePic https://t.co/FnZGOucLi5
13,"Further evidence that so-called @FoxNews should be renamed the Trump Propaganda Channel.  

TPC for short.  

Just make MAGA the logo for truth-in-advertising purposes.

Fox ain’t “news,” and everyone knows it, so why pretend?

https://t.co/yjjmknkP9V"
14,"Rep. @RepSusanWild is right.  How about:  “Not-really-a-wizard Oz” instead.  

Goes with “Not-really-from-Pennsylvania” either. 

Vote for @JohnFetterman. https://t.co/2pXLZIYy8r"
15,RT @RpsAgainstTrump: Press the ‘like’ button is you agree with Liz Cheney that there’s “absolutely a cult of personality around Donald Trum…
16,".@BetseyStevenson — nice and persuasive appearance on @FaceTheNation today!  

As you point out: Let’s remember that the employment record under the @JoeBiden Administration and Congress has been superlative!"
17,"Here’s an old-fashioned idea for Dems to send a signal to those who have criminally attempt a coup regardless of rank and including a former President and current members of Congress):

Prosecute them and throw them in jail. 

via @NYTimes https://t.co/lJEC4XY4a3"
18,"Time for all Democrats to flock together and support @JohnFetterman and the entire Democratic state-wide ticket to stop the Trump-supported charlatan carpetbagger, Dr. Oz, from winning in November. 

https://t.co/ET5nRVZ0vj"
19,"What more do we need before we throw the constitutional and criminal law book at Trump? 

His MO is now obvious: he calls for jailing others because he’s the one who deserves prosecution and imprisonment for treason or its equivalent.  https://t.co/e7WqqDl1oJ"
20,"Related question: Does the state of mind of @FoxNews executives and reporters rise to the level of specific intent or recklessness needed to support a charge of manslaughter under the criminal law? One might refer, for example, to internal advice to employees about the risk."
21,"Evidence is accumulating that @FoxNews has caused many people to disbelieve the science that vaccines are effective against #COVID19.

Q for lawyers: is this enough for a class action to be brought for many wrongful deaths?

VOX, CEPR Policy Portal https://t.co/R76GLq3H8h"
22,"Source (updated) for the above: with some good ideas for moving forward. 

5/5

https://t.co/DYEUYR5h8F"
23,"There is no big public opinion divide in reality between lawful gun owners and those who don’t own guns on gun safety issues. 

The polarization on this issue is pretty much just trumped up, so to speak, and then ramped up by people like @TuckerCarlson on #FoxPropaganda. 

4/5 https://t.co/PXWYHmMTvd"
24,"What economist call a natural experiment showing that common-sense regulation works. 

Indeed, who would know better than Connecticut after acting in response to the massacre of innocent first-graders and their teachers at Sandy Hook?

3/5 https://t.co/ZF7yKMcaPg"
25,"Comparison to motor vehicle safety regulation. 

2/5 https://t.co/ioubatFnzP"
26,"Sometimes pictures (including great graphics here by Bill Marsh working with @NickKristof at @nytimes) are worth a thousand words. 

Organize, donate, and vote this year to stop the murder-by-gun epidemic. 

#StopGunViolence

1/5 https://t.co/rlmOxVeDlV"
27,"Looking forward to this very much!

Thanks for organizing this @DGindis and @EMicheler! https://t.co/ftliwSaZOI"
28,@TheAmandaGorman You are the Poet-in-Chief.  Thank you for this.
29,"RT @TheAmandaGorman: May we not just grieve, but give:
May we not just ache, but act;
May our signed right to bear arms
Never blind our sig…"
30,From our Poet-in-Chief ⁦@TheAmandaGorman⁩ via @NYTOpinion https://t.co/0AWITqQSWB
31,My typo: 2/3 support a ban on AR-15 assault-style weapons.
32,"Only one answer:

Elect a filibuster-busting Democratic Senate majority in 2022. 

4/4 #EndTheFilibuster"
33,"So why doesn’t the Congress pass the above legislation?

Only two reasons:

1️⃣ Republican opposition (backed strongly by the NRA)

2️⃣ the archaic Senate filibuster (which allows the minority of Republicans to block all of the above legislation). 

3/4 #Senate Republicans"
34,"✅ 77% support requiring guns to be stored in a safe storage unit

✅ 75% support a national database for gun sales

✅ 67% support assault-style semi-automatic weapons like the AR-15 

2/4 #Enough https://t.co/yFKCFZWX4h"
35,"New Politico/Morning Consult poll on gun safety laws:

✅ 88% support out background checks on all gun sales.

✅ 84% support preventing gun sales to people who have been reported to police as dangerous by a mental health provider.

1/4 #GunSafetyNow

https://t.co/e7D3KKQDU6"
36,"Here’s what we must do about “Dark MAGA.” Destroy it.

No more nice-guy liberal tolerance of racist violence, gun worship, and fascism. 
 
Prosecute the criminals who oppose democracy and human decency. https://t.co/wfGOlQzcZl"
37,"No, we need to elect people of any age to change the god-damned laws. We need cross-generational, inter-ethnic, every gender, all religion, big tent everyone coming together to win!

We need a New Fusion to win and destroy the conservative Republican Party once and for all. https://t.co/2Vn3oBiP1k"
38,"The Jitterbugs by William H, Johnson at the African American Museum in Philadelphia.  #DanceFever https://t.co/f0eFwU1iF4"
39,"Quite unfortunately, this appears to be true.  Republicans apparently don’t care about our children or the public schools.  Shameful. https://t.co/IqINOgABLA"
40,"Source:  NY Times

https://t.co/7fxCJfI76J

3/3"
41,2/3 https://t.co/TWRQfq8GTd
42,"Two depictions of the gun violence that Republican extremists are imposing on our country. 

#Gun Legislation 
#GunReformNow 

1/3 https://t.co/7ySZZnfQjd"
43,Yes. https://t.co/xgSePJbcFc
44,On the news that the S&amp;P 500 #ESG Index dropped @Tesla and added @exxonmobil — imagine the E simply fading out of ESG. Or at least E apparently does not include Climate in US measurements. https://t.co/HucU35L1zr
45,"The President as Commander-in-Chief has broad authority to act to keep the people of this country safe.  

The plague of domestic terrorism and racist hatred fueled by the likes of Tucker Carlson and Donald Trump has got to be stopped now.  

We need zero tolerance for hate.

4/4"
46,"The radically unrepresentative Senate, with the anti-democratic filibuster decision rule making the gridlock even worse, has failed for decades to do anything serious to curtail gun violence.  

It needs to be reformed, but we cannot wait for that. 

The President must act. 

3/4"
47,"The President should examine the possibility of declaring a national emergency to address the epidemic of gun violence. 

Yes, there are still limits on what can be done — but how would we expect the President to act if these were acts of foreign terrorism? 

2/4"
48,"I know the Biden Administration and others before it have looked at what the President has the legal authority to do to curtail the gun violence in our country. 

But we have to look harder.

We need to find the means to protect our children from this ongoing evil. 

1/4 https://t.co/yazAAZM8DQ"
49,On target.  Get ready to vote for Democrats in November.  For lots of reasons. https://t.co/0zpfDv2VJa
50,"Meanwhile, Congress continues to do nothing serious to address the climate emergency, and the Biden administration seems to have gone mute, even while facing war by the authoritarian Putin and his captive petrostate. 

https://t.co/CECaEzgs6R"
51,"Attorney General Merrick Garland receiving the Friendly Medal at the American Law Institute tonight in DC.  

We all have the responsibility to confront white supremacism, he said, as he will do at the Justice Department. 

Let’s make it so. https://t.co/HKzpbHqNS3"
52,"I wish ⁦@JohnFetterman⁩ a quick recovery and wish him and his family well. At the same time, a stroke caused by an underlying heart problem resulting in multiple days’ hospitalization should give ⁦@TheDemocrats⁩ pause. 

https://t.co/N5OOPMnt1k via @PhillyInquirer"
53,"With deference to @JoeBiden and Sonia Sotomayor who are moderate Catholics, it’s right to raise grave concern that five Catholic-inspired Justices are about to overrule Roe v Wade. Let’s not pretend anymore that religious values are not affecting the law.

https://t.co/LByb1Kz3dN"
54,RT @ruthbenghiat: The GOP is an extremist party with an authoritarian political culture and a thirst for violence.
55,"RT @RWPUSA: Business school professor @EricOrts gets it. Generating wind and solar power is a top national security priority, an environmen…"
56,"Remember the historic Women’s March on Washington in January 2017? And winning the House in 2018, and then the Presidency and House and Senate in 2020? 

Well, we can do it again. 
 https://t.co/bi0boKoEBX"
