Unnamed: 0,Text
0,Make no mistake—the Republican Party isn't pro-life.
1,@keeli_k You should give Jordan Wilkins a ring. I can DM you his contact information.
2,"“When you pray, don’t be like the hypocrites. They love to stand and pray in public so they’ll be seen. They have received their reward. When you pray, go into your room and pray to your Father who is in secret. And your Father who sees in secret will reward you.”—Jesus Christ"
3,@keeli_k What county are you in? I bet I can help hook you up!
4,"If you haven’t had the chance yet, I encourage you to meet and befriend a rural Democrat in the Deep South.

They’re fighters, and they’re as tough as nails.

They’re honestly some of the best people God ever made."
5,"@HarrietvWallace Keep the faith, Harriet!"
6,"RT @YahooNews: Anti-abortion activists should be concerned with other issues that can threaten life, such as easy access to guns, poverty a…"
7,"If Governor Bill Lee was actually pro-life, he'd expand health care and rural hospitals in Tennessee."
8,"Though the loudest expression of moral outrage will come from progressive cities and blue states, today's decision will have the most outsized impact in the reddest and most rural parts of this country."
9,"RT @POTUS: Today is a very solemn moment for the United States.

The Supreme Court expressly took away a Constitutional right from the Amer…"
10,RT @Sen_JoeManchin: My statement on the decision by the Supreme Court of the United States to overturn Roe v. Wade: https://t.co/b8bYUP6Zy5
11,@NashvilleGeo @NoRoadsNoWars @radleybalko https://t.co/GLr3Wjl8wi
12,"My United States Congressman pulled a gun on his first wife and fired it, pressured her and a mistress into three abortions, and illegally prescribed pills to a patient he was sleeping with.

He strongly supports today's Supreme Court ruling."
13,"After July 24, 2022, a woman who is impregnated by rape or incest will not be allowed to terminate her pregnancy in Tennessee."
14,@tnbluedotlady Keep fighting. Our day will come!
15,"@tnbluedotlady I'll run again for something some day, God-willing! Thanks for reaching out."
16,@ThatEricAlper Stephen Covey.
17,"RT @SenThomTillis: The Senate just passed the Bipartisan Safer Communities Act. Proud to work with @JohnCornyn, @ChrisMurphyCT &amp; @SenatorSi…"
18,I’m currently searching for new friends. https://t.co/wTJPZQBVMD
19,@tiffinjames I love Maine! It's my favorite late summer hang out.
20,RT @katieglueck: The last page of ⁦@MinnesotaDFL⁩ early-state pamphlet via ⁦@amyklobuchar⁩ https://t.co/K1kS3ZQCBF
21,"RT @1journeyfest: @chrisjollyhale - We would love for you to join us at the #1JourneyFestival this Saturday, June 25 at the National Cathed…"
22,RT @Chasten: Our two-month-old son was on a ventilator at the children's hospital when you attacked my husband for being with his family. I…
23,RT @sarahclazarus: did I “kill a plant” or did the plant not have what it takes to thrive in this fast-paced environment
24,RT @AndyGrewal: .@VanJones68: “‘Latinx’? I’ve never met a Latinx. I’ve never met a ‘BIPOC’ … All this weird stuff … Nobody talks that way a…
25,@JMilesColeman Shelby (D)!
26,"RT @POTUS: Together, we've made extraordinary progress in laying a new foundation for our economy. 
 
But there's still so much at stake. h…"
27,I’m feeling some early morning nostalgia for the Tennessee of my youth. https://t.co/7v4YjbyFBv
28,"@bfrist @nashhealthorg Thank you for speaking up, Senator. As a Tennessee Democrat, I must say you represent an era of your party and our state that I deeply miss—where pragmatism patriotism thwarted win-at-all-costs ideological warfare."
29,@rc4official @NSCGoaldenGirls @NashvilleSC How can we get Mary Michael and her mother (my sister) official membership in the @NSCGoaldenGirls?
