Unnamed: 0,Text
0,RT @jelousyliv: olivia rodrigo: “so many women and so many girls are gonna die because of this” no sugarcoating at all! as it SHOULD BE! an…
1,"RT @YahelNYC: Jane Elliot on Banning Abortion and Racism
#thebirthdearthbook #PlannedParenthood #racism #abortion #SupremeCourt https://t.c…"
2,RT @Acyn: Miller: President Trump… I want to thank you for the historic victory for white life in the Supreme Court yesterday https://t.co/…
3,@MummaBear3cubs @itsJeffTiedrich They’ll probably start pregnancy testing women of reproductive age and incarcerate them to stop that. They can already follow their apps and get private information from their phones about pregnancy status. I’m afraid for them.
4,"@AWAKE4Evermore @ShariSchwert @itsJeffTiedrich No, because she’s not a human being in a red state. She has no rights and no say as to whether she has continued life, liberty or the pursuit of happiness. That only belongs to Men and guns apparently. Prescription contraception’s next to be cut."
5,RT @belle_whale: @Ojeda4America @itsJeffTiedrich This! https://t.co/MEHQug9rg6
6,RT @DianeBernaerts: @itsJeffTiedrich @justcole23 https://t.co/ni3OrF8zRv
7,"RT @ng_rippel: @itsJeffTiedrich The kind which has an archaic, dysfunctional, undemocratic US governance &amp; electoral system badly corrupted…"
8,RT @LauriBrenner: @itsJeffTiedrich https://t.co/CxQ248pfH9
9,"This guy is a Republican   He has voted, for the last 10 years, only in the Republican primaries. There are social media “news articles” painting him as a Democrat. That is false. https://t.co/9zbGmNM18k"
10,I just gave to Jasmine Crockett! She is our fighter and I ask you to join me in supporting her campaign! https://t.co/UkOCnMhRB8
11,I’m with Monique … and Dr. Whitfield. https://t.co/Fqeh5Y7UTy
12,@RonFilipkowski What a loser. Begging for money when all he had to do was tell the truth. Or maybe something worse than jail awaits him if he sings.
13,"RT @BetoORourke: Abbott called THREE special sessions last year alone.

But he can’t be bothered to call one now to keep our kids from bein…"
14,"RT @wfaa: “Blaming doors for killing 19 kids is a ridiculous excuse to try to avoid the real problem,” said State Rep. Julie Johnson, a Dem…"
15,"RT @tzimmer_history: A conversation on the state of American democracy, how we got here, and where we go now. 

Very grateful to @IAmPoliti…"
16,"Are you worried? I think we (those of us who aren’t Trump Republicans and who don’t want a corrupt dictatorship) are in the middle of a war we’ve never seen before and we are losing.
https://t.co/O6lbzDhsO5"
17,"Texans did not always excuse incompetence, tolerate dishonorable acts in office, and crooked politicians stealing in office. I hope Ron is right. https://t.co/WodFG6xoxf"
18,@johniadarola @perlmutations Ab$olutely. Right! Ha ha ha ha ha ha ha ha ha ha!
19,RT @TamiSFGiantFan: @StephenKing Apparently the parents had to give DNA samples to identify the bodies of their babies. The average person…
20,"RT @StephenKing: If the gun protectors in Congress are voted out, things may change. If they retain their seats, nothing will change.
Prett…"
21,Introducing toddlers to semi automatic weapons is a prelude to war. Are we Spartans?
22,#Uvalde https://t.co/Q7icETahGI
23,"Maker of rifle used by Texas gunman draws fury for ‘incendiary’ ads. Profits over people. Republicans know which side their bread is buttered on and kids don’t count.
#Uvalde https://t.co/LV3l6i7M5D"
24,"RT @RochelleMGarza: Ken Paxton is too busy avoiding an indictment, concealing an FBI investigation, and defending against a lawsuit to care…"
25,"RT @Strandjunker: 1. Religious freedom means you can practice any religion you want. 
2. Religious freedom doesn’t mean you can use your be…"
26,@american2084 🖐🏻🙏🏼👋🏻🖖🏻
27,@thomaskaine5 Yes
28,"@elonmusk Elon, you rarely vote in Texas so not terribly worried. You donated only to Republicans (party of corrupt crooks &amp; crazies) in tiny amounts in 2021; so announcement is not a surprise. You will fit in nicely there."
29,"If you’re intellectually hanging with Lauren Boebert, I worry about your capacity to make wise business decision based on accurate information, especially with you “buying” Twitter. You can be smart and wrong at the same time but this seems uncharacteristically unintelligent. https://t.co/4J5SzbuOn5"
30,"Hey Elon, get some sleep and don’t get Covid again. Maybe your brain will heal and rational thought will again be a possibility. https://t.co/I9dJ4BJyJa"
31,@elonmusk How about don’t “disinformation”? Too much to ask?
32,@SteveSchmidtSES Amen.
33,Two Plans https://t.co/pJtMyzaUIt via @YouTube
34,"@MiamiCapitalist @BettyBowers @elonmusk It’s not “his” platform yet. Let’s see how much of this acquisition is performance art. Once/If he buys it, let’s circle back and see how much he allows criticism."
35,@mel_darges @BettyBowers @elonmusk Oh yeah.
36,"RT @BettyBowers: @elonmusk Meanwhile, back in the real world . . . https://t.co/Oco5HfWC7V"
37,"The value of virtue: 7 reasons why Volodymyr Zelenskyy's crisis leadership has been so effective
Note: All virtues absent in Trump.  https://t.co/id7Zq5gP8j"
38,"RT @joncoopertweets: MAGA supporters are now threatening to boycott Disney Land?

That sounds GREAT!!!"
39,RT @OccupyDemocrats: BREAKING: Trump's pet fascist Stephen Miller testifies before the Jan. 6th committee for roughly eight hours and prese…
40,"@DemocraticFemme @business Maybe this explains Elon? Add in chronic sleep deprivation. He can not now, nor can he ever again, think clearly.https://t.co/63dbOWMx0z"
41,RT @joedeering3: https://t.co/TMYgZ5hkX0
42,RT @EricMMatheny: Bill Gates buying up all the farmland is far more concerning than Elon Musk buying up all of Twitter.
43,"RT @JuliaDavisNews: In one intercepted exchange, a soldier told another that they had just shot a person on a bicycle. That corresponds to…"
44,RT @gibb_dee: @WinnieJ93360511 @AdamKinzinger @kurtbardella @POTUS https://t.co/J32brgCzMZ
45,@PalestineMATH Thank you for tweeting this. So glad you came and participated.
