Unnamed: 0,Text
0,"“We are not apart from nature. We are a part of it.”

An excellent piece on why passing the #RAWA is more than just a conservation effort—it’s a movement to protect animals and natural resources that we collectively rely on as humans.
https://t.co/fvYZepELhz"
1,"I’m introducing legislation to create a College Retention and Completion Fund to help increase graduation completion rates in New Mexico and nationwide. By providing funding to public universities/colleges, we can ensure that a college education is within reach for all students."
2,"The COVID-19 pandemic profoundly impacted students' ability to finish college and earn their degrees. From orientation day to graduation day, it’s imperative that students are provided with the resources and support they need to succeed."
3,"We’re not going to tackle the climate crisis through empty promises and greenwashing by massive corporations. We need real, comprehensive climate action and initiatives to protect our planet—not lip service. https://t.co/ODDqclaUwe"
4,The aridification of New Mexico and the Southwest poses a real threat to our communities and our ecosystems. I’m proud to lead on legislation with @MelanieforNM to help New Mexico respond to the consequences of the climate crisis. https://t.co/4Lhtqvcu8g
5,Abortion is still legal in New Mexico. We organized and fought to elect pro-choice state lawmakers so we could overturn NM’s abortion ban. Now we need to do the same across the country.
6,"As a father and responsible gun owner, I’m committed to keeping our communities safe. And while there’s still more work to be done, the Bipartisan Safer Communities Act will save lives and is a critical step forward for our country."
7,"The Bipartisan Safer Communities Act will make it illegal to traffick firearms out of the U.S. It will protect survivors of domestic abuse, invest in mental health resources, and ban the illegal use of middlemen to purchase guns."
8,"It’s official: The Senate has passed the Bipartisan Safer Communities Act! I’ve been a part of the bipartisan negotiations on this bill from the start because the more we engage on gun reform and implement commonsense measures, the more lives we can save. 🧵"
9,"Schools should be safe sanctuaries for teaching and learning. Thank you President @JoeBiden for protecting the rights of transgender students.
https://t.co/2pUsUq8zKd"
10,"Abortion is a basic health care decision. One that should be decided by the person getting an abortion and their doctor—not by handpicked, radical conservative, Republican justices."
11,"Women have the right to make their own health care decisions, period. Republicans and the Supreme Court Justices they’ve put in place say different. They are wrong."
12,"RT @TinaSmithMN: We need to take this fight to the Republicans who made this happen. 

Republicans want to run away from this issue; we sho…"
13,"RT @MurrayCampaign: SCOTUS just overturned Roe v. Wade and a woman's right to make her own health care decisions.

Let’s be clear about how…"
14,"RT @gillibrandny: This is a devastating day. More than half of the American population became second-class citizens, stripped of their cons…"
15,"RT @CortezMasto: The Supreme Court just overturned Roe v. Wade, ripping away a woman's fundamental right to make her own health care decisi…"
16,"The Court’s decision is misguided, with dangerous impacts, and we will not let it stand. I will do everything in my power to fight for safe and legal abortion access in New Mexico and across the country. This is not the end. Join the cause. Visit https://t.co/mfPIXLOs7C"
17,"Republicans have spent nearly 50 years planning and plotting to take away a woman’s right to make her own health care decisions. Today, the radical, conservative Supreme Court Justices that Republicans handpicked have done just that."
18,"RT @NevadaCurrent: New Mexico Sen. Martin Heinrich pushed back against using the term drought, using aridification instead. That word refer…"
19,RT @OLENewMexico: JOIN US next Monday! Senator Martin Heinrich will be meeting with members of the community to discuss the ballot measure…
20,"Our veterans return from war with wounds that the physical eye can’t always see. This legislation is a big step forward and an important win for our vets who deserve comprehensive care.
https://t.co/bSWZHrm4no"
21,"No child should go hungry.

With grocery prices on the rise, we need to tackle food insecurity in the U.S. I’m joining my Senate colleagues and urging for the protection and extension of child nutrition programs to address child hunger in the U.S."
22,"There is no question that Big Oil CEOs are more concerned with their profit margins than consumers’ best interests. We need to hold them accountable for price-gouging at the pump and stop corporate greed.
https://t.co/wVy2xQixOw"
23,Protecting the natural resources and public lands that we collectively depend on shouldn’t be contentious—it’s commonsense. We need action on climate now.
24,Our wildland firefighters are on the frontlines of the climate crisis and battling historic fires to keep our communities safe—they deserve every cent of this pay increase. https://t.co/1Etf58BRfc
