Unnamed: 0,Text
0,@harveyjkaye 👋 Hello
1,"RT @PhyllisDHHall: Property taxes alone are not adequate school funding, it results in inequalities. Children of low-income families and lo…"
2,"RT @ProudSocialist: “DEMOCRATS WE CALL YOUR BLUFF, VOTING BLUE IS NOT ENOUGH!!!” https://t.co/sfIGMOukDx"
3,@RepMTG You're a pathetic excuse for a Representative.
4,RT @ahunt4congress: You voted against paid family leave you hypocrite
5,https://t.co/YS5Gp71JpY
6,"Priscilla Renea has left the building!!

Enters Muni Long! https://t.co/di5Zzj9fjH"
7,RT @IAmPoliticsGirl: They won’t stop with Roe…https://t.co/s8W83Ejay4
8,Abolish the filibuster and end the electoral college and end Citizens United in order to began a true democracy.
9,@Chevron Yall investors must got enough money now? Yall could have been doing this.
10,@ninaturner 🤣🤣🤣 that's a good one.
11,"RT @ninaturner: Maybe if everyone who supports abortion rights changed our names to Raytheon, Congress might finally work for us."
12,RT @yuhline: Uh…they just THREW her?!
13,"RT @PhyllisDHHall: We must protect Women's Rights to body autonomy. Abortion Rights is healthcare.

I will not support any progress moving…"
14,RT @PhyllisDHHall: The Supreme court’s decision to overturn Roe v. Wade is outrageous. Denying women the right to control their own bodies…
15,RT @TerellAnderson: #prochoice https://t.co/Pia4z1rkJ4
16,I mean who's fault is it really. https://t.co/1IoVf2q0a7
17,"Old ways Democrats believe that pushing progressives out of the party will help the party win. Progressives believe including progressives and progressive voters will help the party win.

This is where Democrats are."
18,❤❤❤❤ https://t.co/mpgNpfWmQQ
19,"And tell me how people been voting third party for years but when Hillary lost, again due to the electoral college, all of a sudden third party voters are to blame. https://t.co/Bi4eQ8cKgw"
20,Not the Blue Maga mad that I told the truth and they wana keep blaming third party voters. Blame the electoral college not third party voters. Yall are as bad as Republicans. https://t.co/Bi4eQ8cKgw
21,RT @michelle_byoung: Jane Elliot told you this. She wasn’t lying. It’s in the book “The Birth Dearth” abortion isn’t about life it’s about…
22,Protect Jane Elliot at all cost. https://t.co/H9UfAD2Q5Y
23,RT @Josh_Moon: Alabama congressional candidate Phyllis Harvey Hall is absolutely right. What happened today won't deter abortions. It'll on…
24,RT @ninaturner: The Constitution was written by men who owned other human beings.
25,#prochoice https://t.co/Pia4z1rkJ4
26,I'd like to not thank you for forgetting that Hillary won the popular vote therefore won America. Trump lost the popular vote but won the electoral college vote. The electoral needs to be abolished. https://t.co/xUn3n1UFdJ
27,RT @mickeywelsh: Abortion rights rally held at Alabama Statehouse in Montgomery after Roe v Wade is overturned by US Supreme Court @MGMAdve…
28,"RT @BradyTalbert: While pro-choice supporters are distraught, pro-life supporters are relieved. Here’s how the Montgomery community is reac…"
29,Ovaries over Rosaries!!!!
30,@ninaturner Lmao 🤣🤣🤣🤣 sis.
31,🤣🤣 it's the denial for me. Yall act like Hilary Didn't win the popular vote. Hillary won America but lost the electoral college vote. https://t.co/8VNHP0HyzX
32,Whewwwwww https://t.co/22qyDk1tQA
33,"RT @dereckapurnell: If this was about babies, there would be universal healthcare. Free education. Free daycare. Southern states would be d…"
34,RT @kenkhristine: “pro life” but no baby formula on the shelves? yeah okay.
35,RT @ninaturner: I’m tired of hearing that the filibuster will be the Democrat’s best friend when they’re in the minority. No it will not!…
36,"RT @ninaturner: The minute Republicans have the senate and the White House, they will abolish the filibuster and strip voting rights away a…"
37,@SabbySabs2 I'll be watching!
38,"RT @SawyerHackett: Sens. Joe Manchin, Kyrsten Sinema, Susan Collins, and Lisa Murkowski ALL supported a carve-out to the filibuster to lift…"
39,"RT @ananavarro: If you’re against abortion, don’t get one.
If you’re against contraception, don’t take any.
If you’re against same-sex rela…"
40,"RT @logannschieberr: 250+ mass shootings in the US alone, and a woman’s body is more regulated than a gun. get fucking real."
41,"RT @donwinslow: Mitch McConnell wanted:

1. Roe vs. Wade overturned - DONE

2. #VotingRightsAct Blocked - DONE

3. Minuscule gun reform - D…"
42,RT @TinaDesireeBerg: Democratic Party elites were literally campaigning for an anti choice pro NRA candidate in Texas a month ago. Stop bla…
43,"RT @jaslinforqueens: Just one month ago, Nancy Pelosi urged the Democratic party to rally behind the last anti-abortion Democrat in the hou…"
44,"RT @PamKeithFL: Today, I hate Manchin &amp; Sinema with every fiber of my being.

Their FUCKED UP recalcitrance &amp; loyalty to the GOP is protect…"
45,RT @JordanChariton: If @JoeBiden wanted to lead he would go onpublic crusade against Manchin &amp; Sinema to vote to abolish the filibuster TOD…
46,RT @koralinadean: history changing decisions made by people who are old enough to go into cardiac arrest with just one sip of a mcdonalds s…
47,"RT @SummerForPA: We don't want hear anymore Dems, nostalgic for the days of bipartisan cigars &amp; golf outings, talking about how we still NE…"
48,The Republican Christian New World Order coming to a state new you soon! https://t.co/S6wpr7OzDK
49,@JournoRyan @MsCrowSays Alabama doesn't give a damn about expanding Medicaid. When the Federal Government was paying 100% of Medicaid Expansion Alabama refused it. Alabama won't change until Republicans are a minority in this country.
50,STFU STEVE. HILLARY WON THE POPULAR VOTE. AMERICA CHOSE HILLARY THE ELCTORAL COLLEGE DIDN'T. https://t.co/hceWSPNnQL
51,Fuck PELOSI!! She supported anti abortion candidates. All yall are full of 💩 https://t.co/3uDlMQXHgo
52,@Sen_JoeManchin Well abolish the damn filibuster!! You are a clown and no person in this world deserves to have you represent them.
53,The Supreme Court decision is heartbreaking.
54,"RT @ninaturner: I better not see one neoliberal blame Susan Sarandon for Roe when Pelosi, Clyburn, and every establishment PAC and their mo…"
55,Somebody tell Joe Manchin to stfu. https://t.co/px8gb1LJqV
56,Is anybody else living in constant anxiety about the November elections and the Supreme court rulings?
57,https://t.co/lpXIEiyjFX https://t.co/25HXXjymkp
58,*EYE ROLLS* https://t.co/Y7byO1L922
59,"This is a cute story, but whew it's wayyyy too many of us that can't afford to do this and are stuck. $400 EVERY TWO WEEKS is nothing in this Country. $800 a month is NOTHING. Let's not forget about taxes being taken out, that $800 turns into $600 a month.
https://t.co/gYYoQya7vf"
60,RT @donwinslow: https://t.co/FMzVmOKADo
61,@ninaturner @rosegold_soc @POTUS He has an appeal to Republicans strategy. That party doesn't even exist anymore. He's appealing to the Brick Wall Party now. Smh
62,@Millie96015868 Companies can publicly state that they support organization but financially they support the oppressors of those organizations.
63,"@Millie96015868 When some companies proclaim they support said organizations, the majority of those organization flock to those corporations and give them business as an appreciation. Now said company is making even more profits and investors are investing."
64,"@Millie96015868 No, Im not saying that. What Im saying is these type if people don't care what organization a business supports. All they are worrying about is if that company could get them a good return on investments."
65,"I am not a fan of MTG but this kind of reporting is misleading, stupid, half truthful, and Divisive. Yall need to do better. Just because he made an investment in companies that support BLM doesn't mean he supports BLM. Investing is a return on money game.
https://t.co/QGMUaxvOHV"
66,Democratic candidate Yolanda Flowers to face incumbent Kay Ivey in governor race - https://t.co/FDBHtunRdM
67,RT @torylanez: Yoooo we gotta get Brittney Griner OUTTA JAIL YO ….. WTF !?!??? Why are we not talking about this !!!
68,I'm so sick of the attacks on the Millennial generation. Yall need to grow tf up. https://t.co/o17piHXW8S
69,Yall think these rich assholes gonna give a damn when the climate crisis hit. A lot of these politicians won't either. They got money for safety. I mean look what Ted Cruz did when Texas had a natural disaster. He flew himself and his family to Cancun.
70,This is absolutely sick. 🤢 https://t.co/DuW53h8d8l
71,"Im still waiting on a ""Sam Cooke"" biopic."
72,https://t.co/tayzvYb3KF
73,RT @PhyllisDHHall: Today my team and I stood in solidarity with working and struggling families at the @UniteThePoor and Low-Wage Workers'…
74,"Not GAY Republicans being outraged by their own party that wants to exclude the LGBTQ community from everything.

Oh wow this is a shocker 🙄 https://t.co/MacgAL4u5r"
75,Who else is at the #MoralAssembly2022 in D.C.? https://t.co/pDDIYo3wjY
76,I will be there tomorrow ❤ https://t.co/bWjbrtcW1J
77,Im depressed today so im logging off.
78,America is so weird. This is a country where the few get to make choices for the many and hold up the process of the many.
79,Hey there Delilah makes me wish I was Delilah.
80,"My emotional mood today is

@JheneAiko - Born Tired"
81,The U.S. is the Most Overworked Nation in the World https://t.co/rRQVlnffcR
82,RT @DOPECHICKBEATS: AAVE is actually beautiful and I love that for us and us I mean Black people.
83,@DNC Yall need a new messaging team! Fire everyone that's there now!
84,@MikeRogersCamp No he didn't mike.
85,@ChuckGrassley Yall want us to be energy independent so bad but we can do that with renewable energy. Becoming energy independent via oil will still raise gas prices. Also the Keystone pipeline would have minimal effect on oil prices and the amount of oil we use.
