Unnamed: 0,Text
0,@mayorcantrell @CityOfNOLA @ETC_NOLA Hideous
1,@AP Bye bye
2,@greg_price11 @MayraFlores2022 Go Team
3,Happy Flag Day 🇺🇸 https://t.co/je6i2Q1aiQ
4,@DrewHLive @TPUSA Adam Schiff’s district
5,@robbystarbuck @TNGOP Go! Fight! Win!
6,RT @KentuckyDerby: The overhead view 😳😳 https://t.co/wo3rJE1LSO
7,@TheLeoTerrell McConnell and Trump do not support each other and Lindsay Graham is trying to take McConnell’s place.
8,https://t.co/Pv0Cpd1E6f
9,@AmyRangel @bunny32746 So @AmyRangel is a proud expert in pedophilia and very defensive if someone points it out.
10,"@RealOmarNavarro @Tones_InCali @mattgaetz On the other hand, @RepMaxineWaters is on the side of the child molesters in the Los Angeles schools. She gets a lot of money and votes from them."
11,"Children have a right to attend school, unmolested by masks.

Everyone forcing school children to wear masks is a child molester. https://t.co/bXnkEENB5s"
12,"@RoxanneForAD46 @stormrobinson Roxanne, do you happen to know the deadline for candidates to file?"
13,"@LABadMomzClub @cynrojasla I don't have school aged children either, but I have a conscience. These women are degenerates based on their child-masking policy alone."
14,"@roy52_richie Yes, they sure have been and it’s no coincidence they read WAPO, NYT, and watch CNN and MSNBC."
15,"@Sabre1191 It hasn’t come to that, but I’ll keep you posted."
16,My parents swear they can’t be around anyone unvaccinated until there’s an event they really want to attend.
17,@DrEliDavid Where are the rabbis?
18,Everyone ignoring this is a holocaust denier. https://t.co/8Hfu3Y6oQQ
19,@RepThomasMassie https://t.co/4zJM6DfPQn
20,@imaybeabastard1 @thehill Okay. Threatened.
21,"RT @DonaldJTrumpJr: I held my breath is the new “I didn’t inhale” 
These people are idiots."
22,"RT @XJCasper: #WashougalHSWalkout

Washougal High School
Washougal, WA

East or Vancouver, WA
NE of Portland, WA. https://t.co/YE7JRVpenB"
23,"RT @XJCasper: #WashougalHSWalkout 

Looks like this is Part 2
I am not familiar with anyone involved with this video. It popped up on a loc…"
24,RT @letthem_breathe: Oakdale CA students throughout the district are refusing to wear masks. High schoolers have been sent to the gym and f…
25,RT @P_McCulloughMD: Tractable and biologically plausible molecular structures themselves without prompt degradation lead to innate suppress…
26,"RT @jbronitsky: ""Soros is destroying our nation's foundational principles and our democratic institutions. It's a patriotic mitzvah to stan…"
27,RT @MichaelBator6: https://t.co/YLJ8Mj4NIU
28,"D'Souza: We tracked 2,000 mules,
making multiple ballot drops,
leaving no fingerprints,
snapping photos to get paid. https://t.co/ImPKvl7wSI"
29,End all COVID restrictions https://t.co/lFxvBdE3vT
30,"Print, sign and mail this petition to RECALL GASCON: https://t.co/JrrSh0H159"
31,"RT @MartyMakary: Starbucks, Boeing, &amp;Delta are hiring back staff they fired under vax mand. Its time to re-instate American workers with an…"
32,@Gutterpeeps Adam Schiff’s district
33,@Variety Neil Who?
34,"@geoffpilkington “According to McCaffrey, Mangassarian was vaccinated for COVID-19.” RIP"
35,Laura Loomer confronts RINO Team McCarthy at republican donor retreat... https://t.co/xgnMrKPSSF via @CitizenFreePres
36,"RT @billmaher: “This [pandemic] is going to be remembered by the younger generation as a catastrophic moral crime."" -@BariWeiss https://t.c…"
37,"@LegendaryEnergy That’s the heart of @RepAdamSchiff’s district. He wants to  federalize the policies that created this so that this happens to your neighborhood, too!"
38,@dianaberrent @ayeletw @Frances_Larina @ChristieAgath16 @carpediembud @paperboynyc @DrEricDing @Delta Thank you @Delta
39,Thank you @Delta https://t.co/hfj0qIcIqx
40,@chunkyheathen @godlewski_g @Millie__Weaver Ma’am the COVID vaccine didn’t even exist during the massive BLM protests of 2020.
41,"@ItsRicheyRich @realTanyaTay Wow, you go to every store in Portland?"
42,RT @RobertKennedyJr: Exactly!
43,"RT @WillRicci: This is how they admit they’re wrong, “well, cloth makes don’t work” is step 1. 

They still use surgical as cover, “masks w…"
44,RT @ianmSC: Well all of Italy’s vaccine passports and mask mandates are failing so spectacularly that they actually brought back an outdoor…
45,"RT @RepThomasMassie: Dear Santa, please bring us a Constitutional ruling in the Massie v Pelosi lawsuit.

@RepMTG &amp; @RepRalphNorman &amp; I sue…"
46,"I’m so sorry that happened to you here. We’re not all like that, but Los Angeles is an epicenter of mask psychosis.
This guy just brought a zoo animal to this cafe and they served him, no problem.
I tried to pick up a latte without a mask and was yelled at by 3 baristas. https://t.co/xhqpYwWOlE https://t.co/dakhrpESh4"
47,RT @RealCandaceO: This is what a mass psychosis looks like. Brought to you by mainstream media brainwash.
48,"RT @Mostofsky: So @mtgreenee was right...

Just wrong country (for now).

If the @adl &amp; other ""Jewish"" orgs don't apologize to her, they ar…"
49,RT @akheriaty: Fellow physicians: open your eyes. Start asking questions without assuming you have already been told the answers.
50,"RT @YossiGestetner: @Cernovich FDA’s own paper on C19 vaccines for age 5-11, expects 57 more ICU visits for heart issues per every 1 millio…"
51,RT @YossiGestetner: @taradublinrocks He said: “The ones who get very sick and go to the hospital are the ones that don’t take the vaccine.…
52,"RT @ianmSC: 7 months ago, Anthony Fauci said that if 70% of Americans got vaccinated, the US could avoid a fall surge

Well 73% of American…"
53,"RT @mattgaetz: I lobbied Trump extensively on this.

He felt better about Snowden than Assange.

I regret we didn’t make it happen."
54,RT @RealCandaceO: Hey Meghan— did you know that the overwhelming majority of people dying and/or being hospitalized  from Covid-19 are clin…
55,"RT @ianmSC: Cases in San Francisco and Los Angeles are rising faster than nearly every other California county, despite strict vaccine pass…"
56,"RT @ianmSC: LA has had mask mandates since April 10, 2020 and has some of the strictest vaccine passports anywhere on earth

Nailed it agai…"
57,RT @FalonFinch: @ShemekaMichelle I bout fell to the floor😂😂😂😂😂 https://t.co/TdCoucPM1n
58,"@JosephJFlynn1 @simonaw32119219 Yes, way back in 2018, I saw General Flynn not only speak at events for free, but also encourage his fans to donate to others’ causes, not his own."
59,"RT @ianmSC: Los Angeles, with some of the strictest vaccine passport requirements in the world, now has double the case rate of neighboring…"
60,Schiff Doctored J6 Texts Between Mark Meadows And Jim Jordan https://t.co/Z3JUyb1Pe5
61,RT @laralogan: How does this make sense for a treatable disease that most people survive? Many people die from flu every year (similar deat…
