Unnamed: 0,Text
0,"The ""Two Party System"" has us stupidly at each others' throats.
The tribal chants like ""forced pregnancy"" (which can only apply to rape) and ""it's not YOUR body"" are obviously intended to inflame enemies, not win hearts.
Our enemy is who's dividing us.
https://t.co/ZfM6eoC3Mi https://t.co/TFrEoFUCwb"
1,@RobMKendall I've never been able to sleep at over 500mph.
2,"@chrisspangle Biden's whole team of handlers is incompetent.  They can't even hide the puppet strings.  
At least Trump was incompetent on his own."
3,"It's not just a yard sign - it's a campaign against the hotly divisive Two Party Puppet Show that's tearing us apart.
https://t.co/ZfM6eoC3Mi https://t.co/q8rx8RduGb"
4,"@SnyderforIN03 Oh come on now, this is clearly photoshopped.  Hillary's hands don't look like that."
5,"@RobMKendall You know I'm not into this self-destructively divisive D/R ping pong game.  But DeSantis is a vastly, demonstrably better politician than Trump could be.
Please let Trump recede into your fond memories and pick somebody tolerable this time.  Please."
6,"@ABellInTheBurbs @theseed59788459 @GavinNewsom You may as well talk about planetary crime rates first.  
Be serious.  Even in high-crime GOP cities like Jacksonville, it's more about poverty, fatherless boys, drugs and population density than state policy."
7,"@GavinNewsom Well-played.  But ""...𝙨𝙩𝙖𝙩𝙚 murder rates"" are much more about the states' major 𝗰𝗶𝘁𝗶𝗲𝘀' murder rates than about state policy.  
And what party controls the cities with the highest crime rates?
Don't blame me - I vote Libertarian."
8,"I think it's sad that gender can be ""non-binary,"" but politics can't.
This D/R tribal puppet show is tearing us apart.  Cut your strings.  Look up at who's been pulling them.  Use your weapon of peaceful revolution and fire them all on Election Day.
https://t.co/ZfM6eoC3Mi"
9,"Laugh, and the world laughs with you; Weep, and you weep alone. 
But give moneychangers monopoly control of your money, and the whole world goes to $#!+.

It doesn't have to be like this.
https://t.co/ZfM6eoC3Mi https://t.co/KHSCFv0rEI"
10,"This will NOT end well.  But it will end.  - Either by smart, quick action, or by catastrophe.

I suggest smart, quick action instead of where we're headed now.
https://t.co/ZfM6eoC3Mi https://t.co/YQNfJ9x56E"
11,"Anybody in Indiana's 8th CD want a bumper sticker?
Let's show all those Subaru and Prius drivers that they're not the only ones with stickers!
Self-addressed, stamped letter-sized envelope to:
Andrew Horning for Congress 
7851 Pleasant Hill Road, Freedom, IN, 47431 https://t.co/oamHK18AoD"
12,"@IngrahamAngle Trump had absolute constitutional authority over the Executive Agencies.  His enemies were in his own administration.
Don't hate on me, I'm just sayin' the truth..."
13,"I'll be at the Vanderburgh Town Hall, a candidate/public forum in Evansville, IN this Wednesday, Jun 8, 2022, from 7pm – 8:30pm Eastern Time.
EVPL Central Library - Browning Rooms A&amp;B
200 SE Martin Luther King Jr Blvd, Evansville, IN 47713
https://t.co/ZfM6eoC3Mi"
14,"@RealSpikeCohen @ArcanePrepper The NSA has that option turned on by default.  ...On what everybody does.  ...All the time.
They're the new Santa Claus, except for the giving gifts part.

https://t.co/ZfM6eoC3Mi"
15,"@RobMKendall @indgop @93wibc Yup.  We need to think like revolutionaries next Election Day.  Your vote is a weapon of peaceful revolution, not a flag of surrender to odds and stupid games."
16,"@johnnotkathi @ksorbs It's amazing how people just won't talk about core human issues.
We'd rather do anything than consider how we've been treating human beings."
17,"Both warring tribes are fighting about guns when they really ought to be asking ...what's going on with our young men?  Suicide rates, drug deaths, violence, falling achievement in school and life...  Is it really the guns we should be discussing?
https://t.co/ZfM6eoC3Mi"
18,"@ksorbs Both warring tribes are fighting about guns when they really ought to be asking ...what's going on with our young men?  Suicide rates, drug deaths, violence, falling achievement in school and life...  Is it really the guns we should be discussing?
https://t.co/ZfM6eoC3Mi"
