Unnamed: 0,Text
0,It is impressive that a cleanup is actually being attempted.  And POLICE and fire crews on site?  Can you tell it is an election year? https://t.co/2hbHOPKpH0
1,@TiffaniJones66 you remind us of the full blown George W. Bush economic crises we suffered under during the 8 years of the Barrack Obama Administration. https://t.co/C1PkoaEzUx
2,Arizona election fraud investigations are barely hanging on by a thread.  The AZ establishment politicians simply don't know how to undo a provably fraudulent election that happened 2 years ago.  We know who the non-profits and their donors are.  Will the IRS step in? https://t.co/jiwe5QkE4t
3,"Gov. Jay Inslee has cancelled the Indeterminate Sentence Review Board’s order that granted parole to Timothy Pauley, convicted in 1981 for 3 murders.

Inslee cancelled order after considerable deliberation and realization that this is an election year."
4,"@GovInslee Governor Inslee you are confusing ""democracy"" with ""democrats"", both of which are complete opposites."
5,"@GovInslee Trump is concerned about election fraud in Pennsylvania because of the questionable election activities in the counties controlled by Democrat election officials.  I must say, though, Washington State has the most corrupt election process in the nation."
6,https://t.co/ypJRcsdlRv
7,RT @JenniferSey: Kids and schools are not political. Or never should have become such. Not sure how we find our way out of this.
8,"RT @ClayTravis: Ten airline CEO’s, including the CEOs of American, Delta, United, Southwest and JetBlue, sent a letter to Joe Biden demandi…"
9,"RT @JackPosobiec: Jackson gave an industrial-level child porn trafficker a light sentence 

Cruz asked her why she did that 

She just glar…"
10,RT @Ccampbellbased: Liberal melts down about trans rights in front of mayor 😂 https://t.co/5qgnJdCY7Y
11,RT @JackPosobiec: Biden promised to nominate a black woman to the court but the woman he nominated after saying he would nominate a woman c…
12,RT @DonaldJTrumpJr: Pedophiles across the country must be rejoicing at the prospect of having Judge Jackson as a continued advocate for the…
13,RT @MichaelBerrySho: I can't stop laughing. https://t.co/xOwdbSZRLp
14,"RT @WAGOP: Today is Monday. That means tomorrow will be Tuesday. Tuesday comes after Monday. So basically, Monday comes before Tuesday."
15,"RT @JenniferSey: Children were sacrificed so the WFH class could feel safe. There was nothing noble, virtuous or effective about shutting k…"
16,RT @JenniferSey: Are we still supposed to hate the unvaccinated? Feels like we’ve moved on but I’m having trouble keeping up with who I’m s…
