Unnamed: 0,Text
0,"RT @RepTedLieu: Democrats and Republicans are not the same. 

While Democrats worked to pass gun safety legislation, @HouseGOP urged their…"
1,"Jesus said: “Again I tell you, it is easier for a camel to go through the eye of a needle than for a rich person to enter the kingdom of God.” (Matthew 19:24). 

If the church directed government, there would be a 100% tax on rich people.

And open borders. (Matthew 25:35). https://t.co/aNAn9gwGl8"
2,@dismyaccount66 @POTUS @PressSec @WhiteHouse What do you recommend?
3,"I urge @POTUS and @PressSec to say and fight for the following: “Elect two more Dem US Senators and Hold the House. We can then eliminate the filibuster. And codify Roe v. Wade into law.”

That is the message and those are the facts. The @WhiteHouse must be clear about this. https://t.co/5rFWPAis5m"
4,"RT @DeptofDefense: On #PTSD Awareness Day, we recognize the effects post-traumatic stress &amp; promote resources to assist in overcoming. Aski…"
5,"Democrats are ahead on the generic congressional ballot 48% to 41%. Can you help us Hold the House by donating to my leadership PAC Blue Momentum, which helps elect congressional Democrats?

Donate now and you will also get a cool water bottle I designed. https://t.co/GXJzMDgqSX https://t.co/2KmiG91RJM"
6,"RT @ashley_ehasz: I flew Apaches over Baghdad, ready to die for our country. 

In the wake of the SCOTUS decision to overturn Roe v. Wade,…"
7,Dear @StateDept: We previously wrote you a letter providing several examples of Russia sponsoring terrorism. It is well past time for you to designate Russia as a state sponsor of terrorism. https://t.co/5lc4dWH6J7
8,"Democrats now lead the congressional generic ballot 48% to 41%.

#MondayMotivation https://t.co/i9VlNyHCDZ"
9,Thank you to science. https://t.co/2IjTGzgZre
10,@VincentRowan2 Abortion is not a both sides issue. Democrats and Republicans are not the same.
11,"@JohnJoh05200395 The House passed the bill to codify Roe v. Wade into law. If we elect two more Dem US Senators and hold the House, we can send that bill to the President’s desk. Will you help us do that?"
12,"@JoeDubyk The House passed the bill to codify Roe v. Wade into law. If we elect two more Dem US Senators and hold the House, we can send that bill to the President’s desk. Will you help us do that?"
13,@VerpissDich99 I support Roe v. Wade.
14,"@Dave_K_C The House passed the bill to codify Roe v. Wade into law. If we elect two more Dem US Senators and hold the House, we can send that bill to the President’s desk. Will you help us do that?"
15,"@ssomers55 The House passed the bill to codify Roe v. Wade into law. If we elect two more Dem US Senators and hold the House, we can send that bill to the President’s desk. Will you help us do that?"
16,"I was moved by Suzanne’s story. After you read it, ask yourself: Do you want Suzanne to make this deeply personal and complicated decision with her family and her doctor? 

Or do you want politicians making that decision for her? https://t.co/vBfsgRVxEJ"
17,@SilverPatriot1 Thank you for following me.
18,@PenelopeDredful My tweet makes no reference to race.
19,"@JasonMa92055740 The House passed the bill to codify Roe v. Wade into law. If we elect two more Dem US Senators and hold the House, we can send that bill to the President’s desk. Will you help us do that?"
20,@OwlMidnite Do you prefer the term forced pregnancies?
21,"@ellipse_chris The House passed the bill to codify Roe v. Wade into law. If we elect two more Dem US Senators and hold the House, we can send that bill to the President’s desk. Will you help us do that?"
22,@LawyerNY An adult female person. That’s how Merriam-Webster’s Dictionary defines the word. Any other words you want me to look up for you?
23,"@Cielofuego The House passed the bill to codify Roe v. Wade into law. If we elect two more Dem US Senators and hold the House, we can send that bill to the President’s desk. Will you help us do that?"
24,"@2_34Kory Congress can give all sorts of rights to people. See, for example, the civil rights act."
25,"@ESugarloaf The House passed the bill to codify Roe v. Wade into law. If we elect two more Dem US Senators and hold the House, we can send that bill to the President’s desk. Will you help us do that?"
26,"@PT_gallagher The House passed the bill to codify Roe v. Wade into law. If we elect two more Dem US Senators and hold the House, we can send that bill to the President’s desk. Will you help us do that?"
27,"@ITalkSports610 The House passed the bill to codify Roe v. Wade into law. If we elect two more Dem US Senators and hold the House, we can send that bill to the President’s desk. Will you help us do that?"
28,"Do you want police officers barging into your bedroom to enforce contraception laws?

Do you want police officers handcuffing women and enforcing government-mandated pregnancies?

That’s what MAGA Republicans want. You can help stop that extremism by voting for Dems this Nov. https://t.co/XjDT7AaFsW"
29,"@Farsteph The House passed the bill to codify Roe v. Wade into law. If we elect two more Dem US Senators and hold the House, we can send that bill to the President’s desk. Will you help us do that?"
30,@MichaelRGallas I support codifying Roe v. Wade.
31,@mommysnewsskirt We hate the #Dobbs decision because it greatly increases governmental power. The government should stay out of your bedroom and your doctor’s office.
32,"Whether to end a pregnancy is a deeply personal decision with massive consequences.

Do you want the woman to make that decision with her family, her doctor and her God?

Or do you want prosecutors and police officers making that decision?

#SundayMorning Questions https://t.co/ckV0ch7USv"
33,"Another example of a MAGA Republican engaging in violence, intimidation and chaos. https://t.co/xLfs9X4dpD"
34,The #Dobbs opinion stated Roe v. Wade was “egregiously wrong from the start” and “an error that cannot be allowed to stand.” You cannot square that opinion with the statements below by the Justices. They all lied to the American people in order to get confirmed. https://t.co/kEUqq2e3HV
35,@tommyg8589_tom @AOC @POTUS So President Biden should clarify by saying the statement I just posted right?
36,@MRM_CA @AOC @POTUS A bill codifying Roe v. Wade would be a restraint on governmental power. The government should stay out of your bedroom and your doctor’s office.
37,@DaveBunchONumba @AOC @POTUS A bill codifying Roe v. Wade would be a restraint on governmental power.
