Unnamed: 0,Text
0,"Please go to ActiVote at https://t.co/87Wy2VDm7d and set me as your preferred candidate in my race and share the lawn sign on your social media to help us get the atten our campaign deserves. The more people who see the lawn sign, the more votes we will get on election day!"
1,Today's Supreme Court decision is a major setback for the freedom of Americans. Congress needs to pass legislation confirming a woman's free will.
2,@RepFitzgerald Supreme Court Justices should not be political
3,@rocky_talley @NDMIKE72 @GOPChairwoman What was stuffed into those bills? Show me
4,@RepStefanik Why don't you hold one?
5,@SenBillCassidy @WhiteHouse What is your plan Senator?
6,@laurenboebert Isn't that your party's precise stance on abortion?
7,@RepMTG What are these prayers accomplishing? Empty compassion from @GOP
8,"@RepStefanik If that is true, then @GOP owns the Texas massacre."
9,"RT @Puffymonsta: @MollyJongFast Gun manufacturers somehow have qualified immunity.  

Guess who put that legislation in the books??? https:…"
10,@MollyJongFast Explain to me how this will help? I don't see it.
11,"@RepStefanik Since your heart is ""shattered"" what are you going to do about it?"
12,"This is disgusting. The strongest proponents of gun ownership aren't allowed to bring guns to the conference. That's like telling fans at the superbowl they can't wear team jerseys. What are they afraid of? There will be plenty of ""good guys with guns"" right? https://t.co/sOPSD71mlt"
13,"@cologop If god was with them, their children would also be with them. Prayers aren't working."
14,"RT @AOC: There is no such thing as being “pro-life” while supporting laws that let children be shot in their schools, elders in grocery sto…"
15,@SenTedCruz How's that praying helping? Since you've been praying more kids have died... try something else.
16,"@MaverickPTSDdog @BillyD90183821 @benshapiro That depends on the gun laws. We can make it more difficult to get a firearm, but honest people can still get them after being properly vetted."
17,@matthewcary17 @BillyD90183821 @benshapiro Why not give them to the kids too?
18,"What will it take to stop our children from being too scared to go to school? A lot of folks say that gun control is not the answer. Give us some alternatives ideas then, help us out here."
19,"@Jim_Jordan Yes, eventually the fossil fuels will run out. Supply and demand make prices soar."
20,"@RepMTG More people have died in the name of god then any other cause except maybe time. If you support mental health, support a healthcare system where people can afford the help they need."
21,"@cologop @colo_politics @smerconish #Election2022PH 
#Payette2022 
#Independent"
22,I'm gonna need a lot of signatures on my petition just to get on the ballot. https://t.co/vAdn17a5Dh
23,@GOPLeader This country can no longer afford two party rule.
24,"Great point from @RepMTG about all the ""pork"" in bills that claim to do good."
25,Listening to the republican primary for @RepMTG's seat. A few possibilities of sanity.
26,RT @colatinosvote: Education is the single most important equalizer that produces equality in American society.  Encouraging students of co…
27,@colatinosvote Don't just look at the two parties either. Vote in an independent that lives and works in the area. #Payette2022
28,"I enjoyed the energy of tonight's State of the Union. Just as the President pointed out, I noticed a fair amount of standing ovations that included both parties."
29,RT @ehananoki: Two tweets less than 10 minutes apart: https://t.co/65xzGNrwKX
30,RT @cologop: We will never forget.
31,RT @Numbers28: Education isn’t memorizing that Hitler killed 6 million Jews. Education is understanding how millions of ordinary Germans we…
32,"@RepKenBuck Instead of attacking Biden, you should be congratulating the Border Patrol on a job well done."
33,@nathaliejacoby1 👋
34,@joncoopertweets Depends on who else is running...
35,"Listening to proceedings in the House of Representatives on C-Span. All I am hearing is each party attacking the other. There are hardly any arguments concerning the continuing resolution that aren't just party line, childish jabs at each other.
#Payette2022"
36,"@jen_parenti Feel free to vote for an independent/unaffiliated candidate. 😉
#Payette2022
#Colorado8"
37,"I filled out the forms. I am officially a candidate for US Representative of CO District 8!
https://t.co/kNsK3fn0iq"
38,@RepDLamborn That's not a practice either side adheres to...
39,@EpochTimes @SecYellen Anyone else read that as anti inflammatory at first?
40,I'm registered as an unaffiliated candidate for US Representative of the new 8th district in the heart of Colorado. Come May I'll need to collect signatures on my petition to be on the ballot! This district needs to start free from party politics. #Payette2022
41,@Sloths7777 👋
42,@RepKenBuck Why are you so obsessed with Hunter Biden?
43,@RepKenBuck How many patents did Ivanka get from the Chinese after her dad became president?
44,@RepKenBuck Where did these numbers come from?
45,"With the current redistricting, I will now be running to represent the new 8th congressional district. This is our chance to tell the two parties we are fed up with them. I will represent the people, not a party. #Payette2022"
46,"@AlexPadilla4CA I support the end of the filibuster for one reason. If the republicans were in the same seat, they would end it in  a heartbeat."
47,Haven't been on Twitter in awhile. How's everyone doing? #GetTheBuckOut #Payette2022
48,"RT @donwinslow: Based on the threats I'm receiving, this video has REALLY pissed off the Trumpers.

So please KEEP RETWEETING IT.

And Trum…"
49,"RT @donwinslow: Dear @FoxNews 

Yes, the new leader of Afghanistan/Taliban is a lunatic.

So why did @mikepompeo meet with him, sign a peac…"
50,@markwag70610121 @HouseGOP @cologop Not sure how people staying home reaping free money makes jobs go up....
51,@RepKenBuck Almost everything is passed on partisan lines nowadays. That's why we have whiplash politics in this country. Only way to defeat it is to clear out the hyper partisans... like you. #GetTheBuckOut #Payette2022
52,"@HouseGOP @cologop Just how much has the demand vs supply  gone up this year over last year? Prices may be going up but 4 million jobs have been created. Fastest ever job growth. 
#Context #Payette2022 #GetTheBuckOut #biggovsucks"
