Unnamed: 0,Text
0,Seriously — please keep passing this along to your followers and everyone you know.
1,RT @ErinEARoss: One-third of black men have felony convictions. The war on drugs and blocking  felons from the vote effectively reversed th…
2,"Can we get 5,000 retweets on a very good point that isn’t being said enough https://t.co/xnQQo6Z108"
3,RT @EllenKurz: Making abortion a felony when most states don’t allow felons to vote is effectively reversing the 19th Amendment.
4,@Karoli It really is
5,RT @Karoli: Good point.
6,RT @DevinMcG1: Read it again
7,RT @PastorAliceFord: Read it again
8,RT @EllenKurz: You can help codify Roe v Wade by taking your rage to the polls this November. @iVoteFund is dedicated to electing Secretari…
9,@AdamParkhomenko So true
10,RT @AdamParkhomenko: Republicans have not thought any of this through. Especially the ones who claim to be legal scholars and Supreme Court…
11,@ChristopherHahn Yep
12,"RT @ChristopherHahn: Republicans will regret Dobbs this, and every, November."
13,"RT @BillyBaldwin: Healthcare
Education
Homelessness
Poverty
Climate change
Racism
Gun violence
Income inequality
Roe vs Wade

American Exce…"
14,RT @senatorduff: I didn’t know praying - after a football game - on the 50 yard line - was specifically mentioned in the United States Cons…
15,@EllenKurz This needs to be said more
16,RT @EllenKurz: I don’t think Rudy Giuliani wants to talk about assault. https://t.co/CXtRSk7nuY
17,RT @AdamParkhomenko: @EllenKurz https://t.co/Jhw9aLWJKj
18,What is it with Nazis and fascist blondes https://t.co/WaligNE049
19,What is it with Nazis and fascist blondes https://t.co/B1vFe1PjYo
20,@AdamParkhomenko @EllenKurz What is it with Nazis and fascist blondes
21,RT @EllenKurz: Is this the woman who did the hitler salute or someone similar https://t.co/omuFzz2CND
22,RT @DevinMcG1: That’s a yes
23,"RT @leedrutman: Want to increase voter turnout in America? How about a system in which all votes matter?
Voters aren't fools. They know whe…"
24,"RT @JoJoFromJerz: FOR THE PEOPLE IN THE BACK:
Pro-choice does not mean pro-abortion.

Pro-choice means that no matter what YOU believe, you…"
25,RT @Subhah: How do I become a gun?
26,RT @debc17593354: Yes.  I definitely will
27,RT @EllenKurz: You can help codify Roe v Wade by taking your rage to the polls this November.
28,RT @POTUS: The cruel truth is that overturning Roe will hit poor women and girls the hardest.
29,RT @AdamParkhomenko: I worked for Hillary Clinton for 15 years. She warned us. She was right. She cared. She still does. And it is time for…
30,RT @AdamParkhomenko: Republicans will be making up stories about her long after she is no longer with us. They will still be fundraising of…
31,RT @RWerthe: Quite right..
32,Retweet if you think Hillary Clinton was right all along https://t.co/PWm6o4O2Yd
33,@AdamParkhomenko Love our Governor @GavinNewsom
34,RT @AdamParkhomenko: This guy might’ve become our nominee today
35,@AdamParkhomenko Thank you
36,Who else is so fucking done
37,"RT @CalltoActivism: Ladies, you know what to do in November. 💙"
38,RT @JoJoFromJerz: I’m so Fucking mad.
39,"RT @AdamParkhomenko: If this was Nancy Pelosi’s child there would be 5,019 reporters asking her for comment. How many reporters have asked…"
40,"I don’t normally swear on this platform, but I want to know: who else would like to tell anyone who opposes reproductive rights to fuck RIGHT off?"
41,"RT @JenSiebelNewsom: In just one week, #SCOTUS has proven it believes guns should have more rights than women. But that’s not the Californi…"
42,@GavinNewsom Thank you.
43,This is important. Grateful for Governors like @GavinNewsom and all elected officials who are using their power for good in these trying times. https://t.co/0U0zGR6m3E
44,Important https://t.co/WvHLqGazhJ
45,RT @JenSiebelNewsom: 👇
46,RT @zismo64: This⬇️Right⬇️Here⬇️
47,"To those Justices: 

Congratulations! You’ve proven that the Supreme Court is no longer a body of Justice protecting our constitution. Instead you are a group of religious extremist politicians that are only interested in forcing other Americans to live by your religious beliefs"
48,Spread this far and wide today. https://t.co/bd7NVUT0oO
49,"RT @senatorduff: Be an informed voter on reproductive choice, gun safety, voting rights, equality and the rule of law."
50,@EllenKurz I’m so ready to vote every last one of them out of office
51,"RT @JoeBiden: This fall, we must elect more senators and representatives who will codify a woman’s right to choose into federal law. We nee…"
52,RT @AdamParkhomenko: @KimMangone So many incredible Democrats in Michigan in office at all levels.
53,"RT @MichiganDems: For all those asking for a YouTube link, here it is: https://t.co/IirzSUmU4h"
54,RT @MichiganDems: Michigan is the ideal early state: a diverse battleground that’s crucial to 270. Watch @IsiahThomas make the case that @T…
55,I’ve watched about 10 times
56,RT @samyoungman: Any of these death junkies gonna be denied communion?
57,@AdamParkhomenko Very impressive
58,"RT @ChristopherHahn: With their ruling in Dobbs, SCOTUS will turn New York City into the Wild West.  

God help us all."
59,RT @jesslumbreras: I’m here for content like this
60,@MichiganDems @IsiahThomas @TheDemocrats 👏 👏 👏
61,This is worth a watch and a retweet! https://t.co/peK80GHsJy
62,"RT @senatorduff: Secretary of the State races across America should be seen with the same importance, media attention and scrutiny as a pre…"
63,RT @OtwellKay: He actually said this? And he calls himself a lawyer? I guess Trump got what he paid for with Rudy.
64,"RT @EllenKurz: As head of Trump’s legal team, Rudy Giuliani said “We've got lots of theories, we just don't have the evidence.”

That is a…"
65,RT @MeidasTouch: BREAKING: Arizona’s top drag queen reveals the shocking and hate-filled hypocrisy of Republican gubernatorial candidate Ka…
66,"RT @rogerledbette11: Yes, @Ellenkurz, Giuliani Freudian-slipped &amp; told the truth.

Yesterday's hearing revealed #Trump was asking Rusty Bow…"
67,RT @EllenKurz: We can’t rely on Republicans growing a backbone or a conscience. We have to elect Secretaries of State who will protect our…
68,@EllenKurz @iVoteFund 👏
69,@EllenKurz There shouldn’t be a voter in the United States who hasn’t heard this line.
70,Kevin McCarthy doesn’t have a single ounce of the courage that Shaye Moss has.
71,Who else stands firmly with Shaye Moss? 🤚
72,"RT @iVoteFund: If state election officials didn’t stand up to Trump in 2020, he would have stolen the election. Republicans that still say…"
73,RT @TheRickWilson: This is a profile of a person terrorized by the President of the United States and his minions.
74,RT @AdamParkhomenko: Shaye Moss is an American hero.
75,RT @iVoteFund: We need to elect Secretaries of State who will follow the rule of the law &amp; will of the people. It’s the voters who decide w…
76,Adam Schiff is behaving like an American hero.
77,America needs more Shaye Moss’ and less Rudy Giuliani’s.
78,President Trump assaulted the livelihood of Shaye Moss. It is devastating to listen to.
79,RT @EllenKurz: Trump will only steal the next election if we let him.
80,RT @EllenKurz: My heart is breaking watching Shaye Moss
81,RT @Martina: Yup
82,RT @EllenKurz: The testimony from Raffensperger and others make it clear. Trump will try to steal the 2024 Presidential election. This is t…
83,Republicans want to groom your Secretaries of State
84,"RT @EllenKurz: Democracies are not abstractions. They are Secretaries of State. Remember that. 

Thank you Bennie Thompson for your leaders…"
85,RT @senatorduff: Alarm bells going off all over the place. This is in plain sight.
86,"RT @DevinMcG1: If you’re reading this, please spread it far and wide."
87,RT @EllenKurz: NEW: The Texas GOP just voted overwhelmingly to reject the legitimacy of President Joe Biden’s 2020 election win. This is th…
88,@EllenKurz @iVoteFund 👏
89,RT @acoyne: More pseudo-conservatism.
90,RT @EllenKurz: @iVotefund is an organization on the frontlines of electing and empowering Secretaries of State who know we must safeguard t…
91,@EllenKurz Passing this on immediately.
92,RT @EllenKurz: Many people are saying Clarence Thomas is the leaker.
93,RT @DanRather: Texas Republican platform - completely on brand.
94,RT @IMDb: What's the greatest movie soundtrack of all time?
95,RT @EllenKurz: This is Republican Kim Crockett. She’s running for Secretary of State in Minnesota. She’s extreme. Dangerous. Not smart. She…
96,"RT @BillKristol: ""Some of his happiest moments, he said, were when he worked on political campaigns: 'You think you are going to make a dif…"
97,"RT @IAmAmnaNawaz: Truly one of a kind. Mark’s intellect, wit, and heart were unmatched. I left every single conversation I ever had with hi…"
98,"This will be my policy, too. https://t.co/9gXUjVPX4x"
99,"RT @costareports: My favorite memory of Mark Shields. He saw me standing alone in a NH parking lot, late after a debate, Jan. 2012. Offered…"
