Unnamed: 0,Text
0,The Truth Squad exposed Jones's blog post where she lied about attending an event remotely (not possible) for endorsed candidates (not true - open to all candidates). Support honesty in CD01: https://t.co/nWRVVAozDn #truthsquad #FlaPol #peggyforthepanhandle https://t.co/xcDUUEJXFp
1,Tune in to #realnewswithrickoutzen at 8:20AM CST tomorrow to learn why I created the Truth Squad to combat Rebekah Jones's campaign of disinformation &amp; to hear why I am the only legitimate candidate poised to beat Matt Gaetz! #peggyforthepanhandle #FL01  https://t.co/g6Rqa0Q7bI
2,"Tomorrow marks the 7th anniversary of the Obergefell v Hodges, protecting marriage equality. On the heels of the overturn of Roe v Wade, I vow to keep defending this right and to fight for complete equality for the LGBTQ+ community. #peggyforthepanhandle 

https://t.co/e3HWkuHuiS"
3,"Your vote is your most powerful weapon for change. Read my full statement below and please donate if you are able. With your support, I will continue to fight for our fundamental rights! #peggyforthepanhandle https://t.co/nWRVVAozDn https://t.co/PKdbtsq0eY"
4,"#SCOTUS overturning Roe v. Wade shows how very important our votes are. We knew this was coming, but it doesn't make the news any easier. Vote blue up and down the ticket! #peggyforthepanhandle 
https://t.co/Krec5R9Ksr"
5,"This headline is spot on. So is Kinzinger: ""The only reason you ask for a pardon is if you think you’ve committed a crime."" #gaetzgottago #peggyforthepanhandle 
https://t.co/X3oTCAqobt"
6,"Matt Gaetz not only sought a pardon before Jan 6, but after as well! 

I'm a candidate who has not and does not need a pardon of any kind! Bring Dignity, Integrity and Honesty back to the Panhandle! Help me https://t.co/8gpbLNZ6BN

#Jan6Hearings
#Jan6Justice https://t.co/G0EFJtb7xC https://t.co/Yha2CeB7u9"
7,"Our lawmakers are making it less and less attractive to pursue teaching as a career. Our future depends on our children being well educated... that can't happen without teachers! 📚✏️🎓

When I’m in congress, I will fight to #ValueEducation and #ValueEducators. https://t.co/fVIEiuLyrw"
8,"So proud of our friend Pastor Tisdale and her daughter!
🏔️ #mountkilimanjaro https://t.co/6nGOyy06ls https://t.co/UkOxujjVQK"
9,@LAN_FUAMI Short term fix for easier sharing. Working on a longer term fix. Thanks for the feedback. Press Release: https://t.co/D4PmEPPOYE Fact Sheet: https://t.co/iQ0FvKRf4O
10,"Teachers, recent grads, nurses, &amp; the service workers who keep our tourist economy humming are struggling to find #AffordableHousng. Your friends &amp; neighbors need help as prices continue to skyrocket. Affordable housing should be a right, not a privilege.
https://t.co/kF0dwiyZRc"
11,@LAN_FUAMI Thanks. We'll work on that.
12,"It was great to meet and have dinner with Adam Hattersley, Florida's next Chief Financial Officer. This is a very important statewide role that we must turn blue! Be sure to check our his site: https://t.co/qFzqJSL49d #peggyforthepanhandle https://t.co/9yIYc2eWii"
13,"5. Jones promotes false endorsements
6. Jones claims to be the nominee already
7. Jones has not earned her PhD
8. Jones claims Schiller is working with Desantis
and so much more. . .check out the fact sheet for details and proof.
https://t.co/AGEF7wl3NA"
14,"Our #TruthSquad has uncovered several important facts about my opponent.
1. Jones has an extensive criminal history
2. Jones is not a whistleblower
3. Jones had an affair with a former student
4. Jones hired consultants responsible for environmental racism
https://t.co/AGEF7wl3NA"
15,"We've formed a #TruthSquad to combat the massive disinformation campaign from my opponent, Rebekah Jones. You deserve the truth. Read the full story here.  https://t.co/ybVDODyX6U"
16,It's so great to drive around the District and see so much support.  Let us know if you want to display a yard sign. We still have some left from our latest batch. #peggyforthepanhandle https://t.co/GbFVTlXwB3
17,"The primary is just over 2 months away. Have you crafted your voting plan yet? Are you registered? Know how to vote by mail? Know the early voting dates? Make your plans today &amp; share these resources with others! #yourvotematters #peggyforthepanhandle
https://t.co/J9rPoGMfEm"
